Season,team,count,score,diff,Numot,fgm,fga,fgm3,ftm,fta,or2,dr,ast,to2,stl,blk,pf
2003,1159,14,16226,-187,0,330,829,93,111,174,157,292,195,216,92,23,271
2003,1160,11,12760,-111,1,265,709,43,141,230,168,289,106,149,64,60,203
2003,1161,13,15093,-154,0,327,674,58,159,238,134,265,170,223,60,49,291
2003,1162,25,29050,-351,1,423,1136,120,261,393,237,542,241,438,129,85,454
2003,1163,9,10467,-96,0,231,532,41,109,171,123,217,109,156,44,55,179
2003,1164,17,19788,-211,1,327,819,61,167,233,160,300,145,256,113,32,275
2003,1165,18,20970,-276,0,375,940,103,158,249,176,378,211,271,126,39,328
2003,1166,4,4664,-24,0,100,230,29,46,62,48,76,45,56,24,10,75
2003,1168,19,22192,-176,1,424,992,87,225,353,222,331,213,241,112,29,359
2003,1169,15,17535,-137,2,340,817,87,178,267,196,317,168,266,114,32,351
2003,1170,17,19890,-302,0,354,962,89,195,299,189,347,212,286,140,54,357
2003,1171,19,22249,-211,3,376,957,142,182,248,128,383,237,239,112,45,364
2003,1172,10,11720,-119,1,253,628,80,119,158,134,254,150,185,54,17,214
2003,1173,5,5865,-43,0,129,298,32,51,80,67,100,66,64,28,13,104
2003,1174,14,16436,-141,1,315,850,101,165,233,175,315,178,207,97,49,300
2003,1175,12,14100,-179,1,233,608,63,101,150,140,206,112,183,78,29,234
2003,1176,15,17640,-169,3,361,930,99,194,270,200,336,196,216,100,22,323
2003,1177,12,14124,-134,0,262,629,39,163,240,148,268,131,178,53,25,238
2003,1178,12,14136,-88,0,295,661,51,118,182,115,252,137,159,65,25,245
2003,1179,20,23580,-230,2,418,966,104,263,370,167,429,238,304,67,32,342
2003,1180,11,12980,-126,1,231,609,58,148,214,120,258,139,175,68,61,214
2003,1181,6,7086,-47,2,152,380,45,94,144,92,114,68,84,40,17,158
2003,1182,21,24822,-257,1,481,1133,128,265,388,224,462,269,387,131,76,426
2003,1183,15,17745,-184,1,387,955,82,216,288,184,324,211,192,91,27,322
2003,1184,17,20128,-218,0,434,1034,94,244,364,218,338,215,265,132,46,411
2003,1185,14,16590,-172,1,363,823,63,229,356,178,317,190,210,70,41,312
2003,1186,12,14232,-100,2,270,635,60,154,233,109,268,158,215,75,25,288
2003,1187,15,17805,-203,0,306,800,59,183,268,168,339,158,195,61,45,267
2003,1189,15,17835,-233,3,329,844,71,159,264,204,280,167,247,105,38,326
2003,1190,10,11900,-102,0,275,648,53,140,190,139,210,126,187,113,35,202
2003,1191,16,19056,-207,0,367,801,88,220,316,152,325,237,255,81,46,337
2003,1192,14,16688,-176,3,327,807,105,162,222,144,264,171,205,74,31,287
2003,1193,11,13123,-115,0,251,595,45,175,247,123,236,139,190,78,49,240
2003,1194,21,25074,-275,0,512,1345,134,256,378,301,429,252,354,189,72,505
2003,1196,7,8372,-35,0,165,373,49,75,109,67,156,90,102,39,23,119
2003,1197,12,14364,-179,1,264,659,87,172,270,157,276,126,214,66,19,254
2003,1198,21,25158,-229,3,443,1101,74,268,438,292,407,191,336,151,42,426
2003,1199,15,17985,-158,0,339,863,89,163,234,151,332,195,220,122,55,300
2003,1200,26,31200,-394,0,592,1460,171,296,479,299,576,313,458,187,84,559
2003,1201,8,9608,-65,0,201,471,50,104,150,103,167,105,118,45,25,190
2003,1202,17,20434,-218,0,373,959,76,166,254,225,381,198,282,112,45,314
2003,1203,17,20451,-139,1,414,981,101,266,389,253,366,204,296,100,58,375
2003,1204,13,15652,-147,0,338,774,72,139,216,168,275,153,214,102,44,269
2003,1205,24,28920,-241,1,590,1525,188,211,310,300,611,357,413,160,61,462
2003,1206,12,14472,-130,0,245,655,32,157,242,167,259,97,201,87,13,230
2003,1207,14,16898,-94,4,356,883,62,260,356,205,334,197,217,91,88,367
2003,1208,8,9664,-55,0,217,499,45,97,142,108,163,129,90,58,28,148
2003,1209,15,18135,-182,6,391,924,92,190,267,190,311,181,217,103,62,272
2003,1210,14,16940,-126,0,345,848,63,168,253,190,304,168,209,102,62,287
2003,1211,8,9688,-51,1,195,446,56,138,186,87,182,117,111,45,32,160
2003,1212,18,21816,-357,0,445,1122,100,184,265,163,431,214,307,81,66,366
2003,1214,11,13354,-107,1,268,637,63,131,216,150,242,146,213,97,34,287
2003,1216,13,15808,-134,2,279,758,63,138,222,190,285,131,193,92,25,273
2003,1217,15,18255,-143,0,374,898,115,167,245,183,341,226,253,100,33,333
2003,1218,11,13398,-97,1,241,589,54,116,175,108,242,151,163,67,38,203
2003,1219,20,24380,-227,1,478,1129,106,256,392,248,396,215,336,143,37,362
2003,1220,21,25620,-264,0,480,1223,139,197,340,311,523,252,411,104,50,432
2003,1221,4,4884,-54,0,81,219,20,53,76,45,83,49,63,34,17,79
2003,1222,20,24440,-276,1,417,1079,103,189,309,255,502,200,373,104,87,357
2003,1224,17,20808,-156,0,417,1022,104,220,335,238,316,169,269,149,55,350
2003,1225,15,18375,-125,4,317,826,86,158,222,177,329,173,216,76,38,259
2003,1226,14,17164,-110,2,356,846,62,158,250,168,283,168,212,107,35,300
2003,1227,8,9816,-82,0,200,487,43,77,145,112,176,103,92,43,27,174
2003,1228,6,7368,-31,0,136,332,40,74,104,49,153,85,80,31,23,140
2003,1229,21,25809,-253,0,478,1125,135,218,306,203,402,223,313,127,48,423
2003,1231,12,14772,-138,1,255,628,78,160,229,122,257,138,152,42,48,240
2003,1232,24,29568,-362,0,465,1256,113,229,334,238,478,274,335,154,69,446
2003,1233,12,14796,-85,1,274,659,61,205,280,133,258,158,191,95,46,275
2003,1234,13,16042,-128,2,311,718,62,192,263,151,305,179,198,59,42,253
2003,1235,13,16055,-177,0,304,752,75,120,191,162,280,133,199,59,53,257
2003,1236,20,24720,-305,2,433,1072,138,281,398,181,442,253,348,157,58,405
2003,1237,13,16081,-181,1,290,722,73,193,290,169,260,131,232,91,21,282
2003,1238,18,22284,-210,2,402,1078,115,281,416,197,391,186,293,177,41,430
2003,1239,16,19824,-271,0,358,885,72,157,258,179,337,157,263,103,75,247
2003,1240,10,12400,-112,0,223,578,65,102,166,127,184,108,165,97,28,226
2003,1241,17,21097,-173,0,393,953,107,179,274,187,405,209,263,79,60,361
2003,1242,7,8694,-57,0,168,439,30,107,164,110,175,86,113,48,26,137
2003,1243,17,21131,-138,1,404,942,81,193,317,191,388,220,223,73,57,333
2003,1245,9,11205,-73,0,233,545,63,114,164,127,183,113,115,51,11,210
2003,1246,3,3738,-36,0,74,185,10,33,48,39,63,41,38,16,10,52
2003,1247,17,21199,-229,0,364,974,114,245,342,224,348,155,245,93,27,376
2003,1248,16,19968,-191,0,370,863,109,172,248,151,335,208,230,83,49,282
2003,1249,14,17486,-152,2,298,759,80,189,279,163,330,128,249,88,72,275
2003,1250,12,15000,-158,0,258,667,58,147,213,133,269,138,169,88,29,263
2003,1251,15,18765,-198,0,313,823,85,210,294,173,337,148,280,129,43,315
2003,1252,18,22536,-226,2,426,1024,145,322,436,183,448,242,317,66,60,355
2003,1253,22,27566,-333,0,465,1119,123,298,423,228,428,249,390,105,53,433
2003,1254,19,23826,-263,3,481,1192,109,271,399,279,481,247,347,128,34,422
2003,1256,15,18840,-179,0,332,864,74,167,243,189,333,150,215,77,36,288
2003,1257,6,7542,-39,1,144,356,43,113,175,82,139,91,86,34,33,170
2003,1258,19,23902,-201,1,456,1093,76,281,401,218,396,257,311,138,78,431
2003,1259,24,30216,-393,0,450,1183,127,342,493,238,535,231,417,119,66,439
2003,1260,16,20160,-168,1,412,1034,110,203,274,221,335,177,227,104,60,363
2003,1261,10,12610,-103,0,231,567,56,99,166,103,215,118,142,74,37,186
2003,1263,16,20208,-145,0,378,884,105,148,241,181,388,202,283,117,71,281
2003,1264,6,7584,-39,3,152,369,31,81,111,67,118,77,92,54,18,143
2003,1265,16,20240,-166,0,374,968,117,207,274,189,336,204,231,119,48,280
2003,1266,5,6330,-41,1,132,312,33,75,87,66,115,74,79,19,17,111
2003,1267,15,19005,-158,3,364,815,87,207,259,131,306,195,237,93,48,317
2003,1268,9,11412,-65,2,251,614,52,105,154,129,225,144,129,76,54,197
2003,1269,18,22842,-272,0,383,950,87,152,269,195,350,229,286,99,45,367
2003,1270,14,17780,-188,0,308,766,98,180,250,154,302,151,246,88,44,305
2003,1271,23,29233,-290,3,474,1303,165,269,368,293,416,213,352,139,52,492
2003,1272,6,7632,-40,1,149,373,37,105,160,91,140,77,76,40,31,134
2003,1273,6,7638,-129,0,136,339,36,60,94,73,101,73,101,40,18,99
2003,1274,17,21658,-132,5,395,975,100,230,317,219,365,211,285,149,63,355
2003,1275,15,19125,-156,1,271,708,88,168,247,139,286,150,201,74,25,310
2003,1276,13,16588,-154,0,280,732,71,177,250,172,266,140,191,67,44,264
2003,1277,12,15324,-87,0,253,634,68,167,239,139,283,154,184,59,35,261
2003,1278,12,15336,-136,1,289,740,86,133,201,170,261,177,180,67,61,276
2003,1279,15,19185,-135,1,341,789,101,164,221,159,273,193,228,90,26,333
2003,1280,9,11520,-61,1,210,503,55,83,121,114,184,112,137,67,26,159
2003,1281,10,12810,-115,0,235,589,67,98,158,134,231,105,150,47,36,184
2003,1282,20,25640,-283,0,437,1149,171,223,354,241,405,208,254,121,42,371
2003,1283,12,15396,-82,2,289,684,52,160,254,157,250,111,174,73,47,255
2003,1284,13,16692,-152,0,267,697,74,163,231,121,299,170,217,112,23,238
2003,1285,16,20560,-175,1,380,956,128,186,276,191,343,183,227,91,63,360
2003,1286,16,20576,-142,0,342,808,108,177,249,129,319,196,221,83,28,266
2003,1287,9,11583,-92,1,224,518,51,107,156,120,192,100,143,45,18,170
2003,1288,22,28336,-298,3,502,1281,130,313,484,311,425,223,354,144,38,461
2003,1289,20,25780,-381,0,407,1086,89,259,421,238,419,171,367,134,61,377
2003,1290,13,16770,-108,0,330,890,119,148,211,219,233,174,157,123,34,255
2003,1291,16,20656,-225,1,334,898,97,196,285,202,331,164,267,123,51,364
2003,1292,14,18088,-157,2,315,748,85,165,247,156,302,148,264,72,26,312
2003,1293,12,15516,-96,1,295,715,68,125,184,174,265,164,178,68,52,231
2003,1296,14,18144,-179,3,335,772,91,160,254,185,276,179,255,85,43,290
2003,1298,19,24662,-234,1,386,962,94,203,319,210,394,209,348,135,41,386
2003,1299,25,32475,-522,1,551,1420,151,268,455,305,511,223,427,158,34,473
2003,1301,12,15612,-139,0,268,657,78,156,205,126,238,140,177,80,28,255
2003,1304,18,23472,-263,0,387,1048,88,208,313,216,441,177,274,112,47,327
2003,1305,13,16965,-71,4,335,805,74,221,326,182,313,140,178,87,50,306
2003,1306,23,30038,-383,0,490,1279,160,346,553,283,491,263,382,148,33,494
2003,1307,18,23526,-208,1,418,1046,139,238,332,206,356,194,223,99,44,352
2003,1308,9,11772,-75,0,207,522,42,142,205,121,186,87,124,46,36,168
2003,1309,14,18326,-161,2,320,764,76,176,266,191,312,147,266,72,47,253
2003,1310,12,15720,-146,2,288,698,56,210,299,185,254,147,192,91,48,229
2003,1311,25,32775,-448,0,468,1245,130,266,404,260,499,236,450,142,19,489
2003,1313,15,19695,-200,1,311,819,50,204,316,191,309,128,263,122,60,302
2003,1314,15,19710,-198,2,360,914,128,170,266,200,303,198,224,107,61,295
2003,1317,21,27657,-295,1,499,1224,106,293,416,255,485,251,367,136,75,463
2003,1318,15,19770,-183,0,374,952,101,171,246,204,283,181,219,122,30,351
2003,1319,13,17147,-144,2,333,771,85,108,192,130,303,192,206,77,37,272
2003,1320,17,22440,-181,1,367,875,128,178,253,140,377,226,238,91,29,287
2003,1321,17,22457,-235,0,338,845,120,182,252,141,303,217,224,108,42,323
2003,1322,21,27762,-283,1,452,1214,71,278,443,307,452,219,394,151,79,471
2003,1323,9,11907,-73,0,233,571,75,143,198,118,195,138,108,52,35,158
2003,1324,11,14564,-122,0,274,681,66,151,216,152,236,123,153,82,31,210
2003,1325,16,21200,-179,3,370,851,93,232,336,149,351,222,251,97,32,306
2003,1326,14,18564,-164,1,261,739,50,230,319,177,282,128,199,69,29,290
2003,1328,6,7968,-43,0,119,329,32,67,99,80,135,56,75,35,21,116
2003,1329,9,11961,-87,0,189,502,34,113,165,107,208,87,132,62,47,176
2003,1330,15,19950,-125,1,329,920,81,186,281,245,327,182,200,109,35,282
2003,1331,10,13310,-96,2,225,564,69,181,250,113,230,130,144,43,41,213
2003,1332,9,11988,-134,0,216,548,71,124,158,98,193,133,157,64,22,199
2003,1333,15,19995,-168,1,347,910,70,202,306,178,333,191,185,88,51,251
2003,1334,16,21344,-153,1,357,920,96,169,244,175,346,161,207,91,42,332
2003,1335,5,6675,-54,1,100,267,33,64,91,50,104,51,75,36,10,98
2003,1336,21,28056,-343,2,467,1224,125,219,309,252,411,221,334,123,64,446
2003,1337,13,17381,-157,1,344,800,89,158,220,129,270,141,166,93,34,267
2003,1338,4,5352,-28,0,91,217,20,55,87,42,93,54,59,32,14,82
2003,1339,17,22763,-242,0,366,941,122,271,376,154,304,212,257,119,39,399
2003,1340,21,28140,-264,0,394,1033,91,263,404,211,459,186,376,106,59,418
2003,1341,12,16092,-143,3,294,698,72,154,242,127,307,132,171,72,15,245
2003,1343,11,14773,-79,1,251,590,94,109,158,96,205,159,103,61,12,221
2003,1344,13,17472,-115,0,300,773,83,175,226,173,274,166,191,98,59,258
2003,1345,10,13450,-120,0,194,529,37,161,224,107,199,86,147,64,16,203
2003,1346,12,16152,-145,0,295,726,78,183,260,153,244,183,182,72,28,278
2003,1347,20,26940,-376,1,418,1159,119,267,396,232,416,171,304,105,60,414
2003,1348,11,14828,-129,1,251,684,57,154,221,163,233,136,149,85,17,216
2003,1349,10,13490,-147,1,243,584,58,122,180,120,217,133,172,70,23,216
2003,1350,13,17550,-132,1,268,731,74,149,220,157,263,158,149,75,43,262
2003,1351,16,21616,-142,7,375,945,117,194,265,176,349,198,215,110,47,317
2003,1352,17,22984,-178,0,440,954,113,185,264,159,342,177,245,100,36,323
2003,1353,16,21648,-172,1,372,1002,99,195,316,234,330,172,219,145,69,350
2003,1354,10,13540,-145,0,217,559,47,164,253,147,215,83,212,79,20,230
2003,1356,6,8136,-63,1,153,372,39,58,98,84,129,81,95,38,26,140
2003,1357,21,28497,-286,1,541,1361,120,208,295,292,412,269,337,193,49,432
2003,1358,6,8148,-53,2,146,349,51,72,107,64,148,70,116,37,31,137
2003,1359,15,20385,-179,2,308,710,132,111,165,86,321,217,226,64,18,276
2003,1360,11,14960,-111,1,252,590,76,169,275,132,270,165,214,65,40,245
2003,1361,13,17693,-119,0,341,762,80,156,228,183,251,170,210,70,37,291
2003,1362,14,19068,-152,0,323,795,78,140,196,146,275,171,178,79,23,286
2003,1363,21,28623,-252,3,497,1211,86,256,412,258,384,251,295,147,20,460
2003,1364,13,17732,-103,1,271,648,99,163,238,112,243,152,164,70,11,273
2003,1365,15,20475,-196,0,317,826,90,179,260,182,326,168,229,85,19,292
2003,1366,24,32784,-487,0,552,1520,108,249,412,369,516,230,466,226,75,622
2003,1368,16,21888,-197,0,353,924,94,176,273,181,295,181,215,124,17,353
2003,1369,19,26011,-242,1,489,1083,126,175,250,175,376,323,259,97,36,343
2003,1371,12,16452,-158,1,277,713,49,139,211,154,250,148,180,74,26,268
2003,1372,8,10976,-67,1,179,427,39,93,122,90,138,98,113,70,18,171
2003,1373,10,13730,-73,0,243,603,61,166,233,144,220,119,161,69,29,229
2003,1374,13,17862,-172,1,291,737,67,210,279,158,277,143,210,94,43,265
2003,1375,14,19250,-166,0,335,801,104,160,223,160,255,158,202,102,12,270
2003,1376,16,22016,-195,1,366,922,74,167,244,169,316,197,211,112,45,309
2003,1378,14,19292,-143,0,319,818,70,168,274,187,339,171,230,112,56,291
2003,1379,16,22064,-198,1,352,919,69,207,316,211,362,196,247,98,43,315
2003,1380,20,27600,-197,1,503,1243,110,214,343,273,457,248,314,110,73,383
2003,1381,17,23477,-231,0,389,896,96,209,306,166,341,189,262,119,57,352
2003,1382,14,19348,-123,1,374,947,133,173,238,192,297,202,182,112,31,303
2003,1383,16,22128,-183,2,370,922,100,224,330,222,324,207,287,115,61,360
2003,1384,14,19376,-160,0,337,830,80,146,233,148,279,168,203,97,23,263
2003,1385,13,18005,-110,1,319,857,75,157,251,244,246,147,173,126,49,276
2003,1386,6,8316,-40,1,139,339,36,70,115,69,142,63,75,37,33,129
2003,1387,13,18031,-152,0,281,707,71,109,178,136,262,149,162,77,31,250
2003,1388,15,20820,-136,0,297,709,80,223,339,135,317,156,254,95,45,342
2003,1389,19,26391,-239,1,495,1241,132,223,331,293,384,232,301,150,70,436
2003,1390,8,11120,-74,0,185,473,45,113,170,132,186,97,120,34,23,164
2003,1391,20,27820,-299,0,491,1282,108,303,409,297,342,219,287,213,36,392
2003,1392,15,20880,-174,0,313,788,56,166,255,171,297,167,229,93,23,269
2003,1393,5,6965,-50,0,115,319,14,72,115,95,115,41,75,34,38,81
2003,1394,15,20910,-251,0,390,930,64,221,308,194,320,186,276,117,29,294
2003,1395,19,26505,-194,2,461,1130,132,298,442,238,454,245,307,126,33,411
2003,1396,15,20940,-206,0,322,860,116,121,187,174,281,133,163,106,40,262
2003,1397,11,15367,-109,1,261,606,70,138,193,140,256,162,165,48,30,218
2003,1398,24,33552,-511,0,629,1502,165,295,447,266,500,316,403,203,94,530
2003,1399,12,16788,-126,0,282,638,59,138,208,127,262,159,209,66,39,262
2003,1400,6,8400,-41,0,169,402,43,106,145,96,146,85,75,26,24,154
2003,1401,14,19614,-206,0,327,858,96,203,301,169,316,168,214,83,35,317
2003,1402,12,16824,-103,2,262,650,87,165,239,136,255,148,217,100,39,259
2003,1403,12,16836,-101,3,297,720,30,126,196,137,246,161,124,79,25,214
2003,1404,14,19656,-213,0,354,844,101,153,225,152,272,200,217,113,31,311
2003,1405,16,22480,-156,0,379,932,124,165,264,196,332,200,249,107,48,335
2003,1406,24,33744,-474,0,501,1204,103,240,332,225,519,316,494,130,111,406
2003,1407,5,7035,-75,0,128,347,42,45,77,80,101,59,59,36,16,101
2003,1408,15,21120,-171,2,376,857,77,138,223,166,313,197,230,108,39,281
2003,1409,9,12681,-55,1,236,529,56,104,148,108,200,116,155,63,37,178
2003,1410,20,28200,-256,1,440,1163,106,211,356,268,418,230,295,140,21,414
2003,1411,12,16932,-104,0,281,688,70,160,274,179,248,153,163,87,30,213
2003,1412,12,16944,-127,2,313,772,74,155,234,160,254,148,191,123,24,265
2003,1414,9,12726,-112,1,183,470,57,117,163,103,187,96,140,56,18,180
2003,1415,18,25470,-232,1,397,962,101,270,360,199,370,208,329,99,24,400
2003,1416,11,15576,-89,0,243,607,59,136,196,128,245,130,180,81,27,224
2003,1417,19,26923,-223,2,495,1150,103,246,360,212,425,255,289,103,53,382
2003,1418,9,12762,-75,0,233,521,62,102,159,113,175,124,146,59,26,182
2003,1419,16,22704,-244,3,419,1033,77,196,339,265,315,204,272,128,50,369
2003,1420,20,28400,-262,2,453,1097,78,223,340,248,431,264,334,149,49,374
2003,1421,16,22736,-293,0,353,895,98,227,300,196,329,166,276,93,41,320
2003,1422,22,31284,-221,1,562,1311,140,233,323,253,473,299,363,153,66,449
2003,1423,6,8538,-54,1,141,335,36,49,72,48,115,78,86,51,10,135
2003,1424,10,14240,-88,1,258,575,49,146,209,106,205,130,141,71,27,225
2003,1425,17,24225,-190,1,435,1136,97,215,303,263,381,212,250,143,55,385
2003,1426,13,18538,-150,0,289,750,32,125,188,174,260,163,185,86,31,226
2003,1427,17,24259,-232,0,331,914,97,256,370,168,371,175,271,90,28,344
2003,1428,7,9996,-61,1,152,377,50,62,98,76,147,92,95,37,19,171
2003,1429,8,11432,-51,1,169,411,21,105,147,105,166,84,120,47,11,146
2003,1431,24,34344,-374,1,514,1237,121,251,382,253,546,274,437,128,81,464
2003,1433,10,14330,-88,3,248,599,55,107,165,129,242,100,148,52,42,196
2003,1434,10,14340,-144,1,205,538,40,151,219,130,223,117,168,78,32,188
2003,1435,18,25830,-258,1,415,1052,107,192,282,191,388,226,291,133,58,351
2003,1436,10,14360,-94,2,223,571,52,104,172,127,231,114,152,65,27,171
2003,1437,15,21555,-121,0,350,887,87,178,252,212,322,164,229,101,41,329
2003,1438,15,21570,-166,0,381,880,106,159,258,192,345,198,248,78,46,337
2003,1439,18,25902,-251,1,435,1052,96,241,375,264,359,210,274,119,65,346
2003,1440,19,27360,-303,1,447,1133,89,213,326,223,432,262,285,117,63,413
2003,1441,18,25938,-226,0,425,1046,121,268,358,206,361,213,280,103,65,386
2003,1442,21,30282,-306,0,479,1142,122,212,330,217,443,319,337,101,49,392
2003,1443,8,11544,-106,0,207,483,78,53,91,93,162,118,132,47,26,145
2003,1444,10,14440,-91,2,225,574,47,128,191,142,192,105,141,79,14,221
2003,1447,10,14470,-113,0,271,641,68,118,174,145,199,156,160,61,25,200
2003,1448,5,7240,-63,0,113,303,26,89,117,80,106,54,65,33,24,117
2003,1449,17,24633,-206,3,432,1046,79,201,305,215,337,203,255,103,33,376
2003,1450,20,29000,-283,2,485,1238,167,228,327,273,411,273,319,117,56,435
2003,1451,4,5804,-32,0,91,212,22,53,72,47,83,53,59,23,3,72
2003,1452,15,21780,-203,1,351,851,99,141,221,147,301,206,209,95,51,261
2003,1453,19,27607,-220,2,441,1063,98,249,343,240,447,222,286,74,43,419
2003,1454,7,10178,-70,0,187,441,54,86,114,80,149,107,90,54,30,146
2003,1455,11,16005,-124,0,252,607,67,168,236,137,240,134,181,70,10,233
2003,1456,16,23296,-206,0,346,902,86,165,235,186,377,196,209,90,45,267
2003,1457,10,14570,-110,1,221,599,61,92,159,133,228,123,140,65,59,207
2003,1458,7,10206,-53,0,154,385,41,80,125,67,141,84,80,40,10,120
2003,1459,15,21885,-150,0,382,903,108,172,259,187,310,204,230,100,44,271
2003,1460,18,26280,-198,0,417,1010,100,235,343,178,365,191,215,101,49,375
2003,1461,10,14610,-128,0,224,531,46,174,262,112,217,109,151,56,31,209
2003,1462,5,7310,-32,0,104,283,33,56,88,68,122,58,83,22,4,88
2003,1463,13,19019,-128,0,283,693,80,158,217,126,258,165,200,96,21,268
2003,1464,20,29280,-254,0,423,1076,84,264,384,255,417,230,344,110,44,468
2004,1102,6,6612,-60,0,102,264,45,32,53,42,78,67,77,43,10,113
2004,1103,15,16545,-138,2,372,830,93,199,318,159,308,213,210,104,29,324
2004,1104,12,13248,-91,3,282,658,89,143,200,130,258,133,171,67,42,236
2004,1105,16,17680,-223,0,369,974,83,219,325,217,343,172,249,121,27,358
2004,1106,14,15484,-173,0,253,686,73,177,281,171,290,112,249,90,37,274
2004,1107,23,25461,-261,3,489,1242,109,205,285,238,503,253,369,153,49,383
2004,1108,18,19944,-328,0,376,962,82,229,346,216,374,169,387,113,35,366
2004,1110,13,14430,-112,1,301,733,84,164,235,148,271,162,181,96,30,247
2004,1111,21,23331,-227,1,500,1306,132,256,395,291,432,281,372,207,83,454
2004,1112,9,10008,-56,0,266,584,54,149,188,126,194,133,140,61,38,181
2004,1113,17,18921,-186,1,385,950,103,295,408,207,370,241,257,85,49,387
2004,1114,12,13368,-119,2,266,657,54,231,330,163,272,129,202,66,37,293
2004,1115,26,28990,-605,0,488,1434,132,241,373,283,617,256,507,143,62,551
2004,1116,16,17856,-184,2,358,951,87,175,285,231,316,168,220,121,51,335
2004,1117,11,12287,-81,2,250,633,67,188,251,143,249,98,171,59,34,259
2004,1119,21,23499,-395,0,331,981,121,208,307,147,442,195,368,111,37,365
2004,1120,14,15680,-140,1,311,802,96,162,256,203,284,193,228,90,65,250
2004,1122,9,10098,-111,0,194,498,49,73,130,91,207,98,138,52,31,178
