team,count,score,diff,Numot,fgm,fga,fgm3,ftm,fta,or2,dr,ast,to2,stl,blk,pf
1161,16,1371,156,5,439,949,157,336,443,191,419,243,176,69,46,297
1162,19,1427,209,0,464,1013,177,322,432,161,479,277,201,119,70,348
1163,24,1883,422,4,679,1385,174,351,445,227,683,357,263,144,121,449
1164,7,536,69,2,175,425,56,130,178,98,204,94,84,35,27,132
1165,9,721,65,2,253,547,74,141,214,80,250,98,119,83,41,181
1166,18,1582,335,0,544,1069,162,332,467,169,529,320,206,115,61,343
1167,21,1582,328,0,561,1184,124,336,504,248,557,348,257,163,115,434
1168,8,587,56,0,190,449,60,147,206,74,217,90,91,50,16,149
1169,8,621,51,1,206,429,36,173,226,72,216,105,108,56,33,149
1170,12,889,74,1,306,671,86,191,277,117,315,182,146,77,51,241
1171,9,690,127,0,232,494,51,175,238,116,238,133,135,62,16,154
1172,19,1618,202,1,547,1143,192,332,438,175,530,314,191,91,70,331
1173,25,1878,299,3,656,1389,176,390,575,251,751,374,327,153,114,468
1174,7,473,52,0,148,356,40,137,200,80,219,87,85,27,24,103
1175,5,341,24,0,122,277,40,57,97,58,113,68,82,31,12,94
1176,16,1141,141,0,372,751,137,260,341,102,358,254,213,93,42,301
1177,9,702,101,0,247,487,54,154,204,87,245,139,122,52,43,184
1178,14,1181,123,0,400,832,109,272,378,167,368,204,188,101,59,298
1179,6,469,76,2,157,311,47,108,147,42,181,82,77,19,18,98
1180,6,385,37,1,121,304,29,114,152,64,159,76,63,25,21,118
1181,23,1988,375,0,669,1377,210,440,604,278,590,326,214,157,108,372
1182,15,1257,189,1,445,909,161,206,295,149,497,271,218,74,75,290
1183,11,866,83,3,310,643,91,155,233,106,288,176,136,72,30,201
1184,14,1245,172,0,422,808,129,272,357,116,369,250,203,98,51,316
1185,14,1118,163,0,378,791,87,275,384,155,346,164,176,131,55,283
1186,15,1287,211,0,437,844,171,242,349,130,387,225,160,77,74,279
1187,12,924,145,0,310,638,81,223,304,114,328,203,159,71,31,199
1188,6,440,34,0,141,320,39,119,165,71,153,74,89,39,28,133
1189,14,1139,130,1,402,857,141,194,281,133,435,235,190,65,30,275
1190,21,1685,175,3,584,1198,183,334,459,200,553,274,279,137,87,434
1191,24,1888,353,2,653,1277,116,466,634,186,691,449,298,132,102,419
1192,17,1403,134,3,508,1059,140,247,337,183,420,249,195,128,41,340
1193,19,1581,160,5,550,1147,181,300,398,161,504,323,240,134,93,360
1194,7,525,65,0,176,376,52,121,164,66,190,88,83,33,41,136
1195,16,1297,189,6,483,974,84,247,391,193,474,240,175,106,60,302
1196,19,1490,280,0,500,1116,147,343,521,242,549,268,220,129,99,362
1197,6,450,17,4,158,343,42,92,163,65,154,73,95,49,18,119
1198,11,820,134,0,296,597,68,160,220,105,309,148,139,52,52,202
1199,19,1546,262,0,547,1116,129,323,455,208,524,270,255,144,89,334
1200,16,1248,235,2,424,905,137,263,380,172,423,281,218,154,69,318
1201,23,1777,198,2,605,1348,159,408,575,233,622,314,239,193,89,479
1202,16,1195,189,0,390,796,115,300,426,165,417,200,212,95,68,287
1203,23,1796,301,0,596,1308,155,449,576,256,637,319,251,148,83,363
1204,12,950,127,1,323,704,123,181,250,114,309,147,135,89,35,255
1205,14,1052,119,1,367,803,116,202,296,157,359,183,184,98,53,263
1206,11,803,106,1,288,638,66,161,242,132,364,127,125,35,48,179
1207,15,1152,196,0,366,802,126,294,379,145,423,228,208,93,79,320
1208,19,1359,176,1,450,1044,122,337,461,219,563,246,258,100,106,357
1209,14,952,120,2,335,711,70,212,284,101,340,170,160,89,48,260
1210,19,1509,186,1,540,1147,123,306,424,256,516,282,208,97,91,316
1211,25,2101,437,1,725,1443,204,447,580,264,741,355,276,127,78,446
1212,4,296,16,2,101,202,18,76,124,37,100,45,43,23,9,81
1213,23,1798,311,0,616,1335,152,414,595,276,645,350,263,142,58,418
1214,20,1576,201,5,533,1206,137,373,550,279,573,263,294,102,72,399
1216,9,728,78,2,237,515,95,159,201,62,239,131,83,62,21,181
1217,12,895,134,1,319,659,101,156,244,130,330,207,176,58,61,225
1218,25,1952,357,1,656,1395,185,455,659,262,693,405,334,192,95,491
1219,18,1420,188,1,514,1028,106,286,368,176,425,286,176,130,53,299
1220,23,1841,197,3,633,1365,199,376,554,265,635,359,267,141,81,344
1221,14,988,114,3,336,759,104,212,297,123,340,227,152,96,41,223
1222,22,1839,354,5,665,1348,148,361,490,284,577,314,228,150,94,425
1223,13,1017,117,0,340,724,81,256,353,139,379,190,184,71,65,252
1224,10,766,67,0,252,562,49,213,285,115,259,88,135,67,38,188
1225,19,1343,133,0,451,1005,124,317,444,212,509,242,287,105,54,421
1226,14,1110,149,0,377,759,115,241,336,110,397,191,177,93,53,227
1227,3,215,9,1,67,159,16,65,105,33,96,39,45,16,23,56
1228,15,1214,152,4,410,869,136,258,337,109,390,241,165,108,40,259
1229,17,1174,175,0,410,924,132,222,328,173,439,239,197,106,62,312
1230,14,1085,120,0,362,756,125,236,289,90,363,225,162,79,38,234
1231,25,2132,485,0,762,1468,257,351,488,305,659,413,333,179,96,451
1232,14,1014,156,0,330,796,102,252,343,137,423,171,164,86,37,271
1233,22,1775,289,0,631,1324,235,278,392,233,593,397,269,159,100,400
1234,21,1712,337,1,604,1290,182,322,441,227,589,357,198,154,123,328
1235,21,1725,281,0,651,1296,179,244,339,190,595,363,241,138,94,293
1236,22,1825,193,2,630,1298,235,330,458,215,609,350,260,106,79,373
1237,12,920,90,0,326,645,74,194,265,98,304,148,149,72,32,231
1238,17,1206,195,1,431,985,116,228,355,223,461,227,216,131,66,344
1239,12,946,76,1,337,756,111,161,256,154,358,163,134,65,39,212
1240,6,453,51,0,150,315,64,89,114,53,120,83,58,26,16,109
1241,20,1524,250,2,517,1140,179,311,449,217,612,262,231,86,55,372
1242,29,2375,468,4,833,1672,244,465,654,310,782,467,361,200,125,535
1243,17,1276,246,0,428,928,103,317,467,213,438,258,229,127,48,329
1244,9,743,117,0,264,547,60,155,212,113,238,139,108,73,27,165
1245,18,1379,140,2,478,1048,100,323,458,227,479,227,198,103,81,316
1246,26,2128,455,1,763,1537,178,424,612,343,672,386,288,152,153,500
1247,8,606,65,0,204,435,74,124,172,72,205,120,92,55,24,136
1248,6,489,29,1,174,341,60,81,109,36,166,94,79,39,16,109
1249,7,567,88,0,192,404,48,135,195,87,178,113,88,53,24,162
1250,16,1208,179,0,430,870,131,217,292,132,437,253,204,101,46,253
1251,10,698,47,0,240,494,112,106,139,56,240,146,132,54,7,198
1252,10,842,73,3,287,596,103,165,235,91,305,172,151,66,27,180
1253,18,1339,143,1,454,1056,144,287,427,186,494,270,213,121,49,364
1254,16,1280,115,2,446,974,86,302,430,199,430,224,194,130,56,313
1255,7,545,53,2,199,396,50,97,131,65,203,104,91,40,23,100
1256,21,1737,247,4,596,1257,156,389,570,232,590,322,266,158,95,376
1257,23,1833,497,0,683,1376,147,320,470,305,615,338,260,170,119,422
1258,13,1031,96,4,348,805,110,225,301,154,326,217,147,95,41,272
1259,9,684,74,2,232,505,48,172,218,88,251,108,91,41,34,180
1260,14,974,126,2,328,717,90,228,298,90,359,169,171,79,36,241
1261,19,1632,222,0,577,1128,112,366,543,205,509,327,200,168,53,321
1262,10,892,55,2,306,603,88,192,267,101,249,160,163,100,16,223
1263,8,724,58,2,260,525,82,122,188,104,217,146,124,75,28,174
1264,13,997,101,3,333,697,110,221,289,91,314,203,173,109,38,279
1265,7,562,55,2,185,378,55,137,170,45,187,89,87,36,22,139
1266,20,1622,231,4,567,1148,124,364,493,195,570,345,300,166,92,357
1267,17,1563,215,2,553,1112,193,264,374,174,503,325,211,118,56,298
1268,24,1882,355,1,659,1294,187,377,497,217,657,360,315,135,131,379
1269,14,1128,153,3,386,845,120,236,328,142,406,218,182,93,55,280
1270,7,546,32,2,185,401,53,123,181,67,194,94,78,39,27,133
1271,9,687,75,1,246,477,56,139,195,93,211,128,126,64,18,173
1272,19,1518,334,1,519,1190,106,374,502,233,556,309,215,167,102,339
1273,17,1259,172,2,452,945,109,246,335,201,475,279,217,85,42,276
1274,25,1950,363,1,664,1374,178,444,583,244,669,337,259,160,90,398
1275,12,776,75,0,248,620,64,216,289,117,309,131,142,92,30,186
1276,21,1662,369,1,585,1169,219,273,361,160,553,344,196,111,45,318
1277,29,2355,590,1,848,1713,273,386,523,348,887,620,341,130,156,534
1278,8,620,88,0,204,468,71,141,200,87,222,131,85,57,46,124
1279,20,1585,213,1,515,1198,156,399,545,283,544,279,248,163,70,398
1280,14,1111,209,0,412,815,101,186,257,136,381,222,167,95,66,235
1281,10,789,166,0,256,536,60,217,292,104,304,134,128,64,42,203
1282,9,688,99,0,237,507,72,142,211,104,232,121,111,58,30,175
1283,12,872,89,2,302,674,75,193,265,109,321,162,139,80,51,209
1284,27,2156,320,2,724,1630,215,493,637,277,771,335,329,237,90,562
1285,18,1429,239,2,497,967,153,282,396,164,467,256,214,92,47,379
1286,13,1061,128,1,368,799,143,182,276,166,344,186,153,73,23,284
1287,17,1217,172,1,432,988,91,262,378,264,412,253,208,133,47,373
1288,8,588,117,1,198,463,40,152,232,106,214,119,91,49,19,140
1290,8,568,48,0,199,441,41,129,171,85,221,92,114,48,25,147
1291,14,1021,188,1,359,825,95,208,284,140,324,173,167,122,61,261
1292,22,1663,203,1,595,1272,189,284,472,230,606,306,253,139,85,448
1293,15,1072,165,0,378,783,117,199,277,129,375,229,171,84,31,265
1294,8,642,44,0,213,431,54,162,218,85,226,82,103,44,22,170
1295,18,1238,184,1,435,984,118,250,375,167,488,198,178,124,64,268
1296,17,1241,147,2,427,977,135,252,385,213,469,248,212,125,68,338
1297,7,582,93,1,204,412,69,105,137,60,200,130,82,34,16,139
1298,18,1275,201,1,457,940,90,271,400,185,474,242,236,107,78,340
1299,10,733,68,2,231,509,68,203,271,82,282,108,145,55,22,195
1300,10,734,126,0,255,531,62,162,245,119,268,119,132,63,16,182
1301,16,1267,172,1,429,945,102,307,438,230,458,189,187,65,82,253
1303,16,1414,136,2,484,959,86,360,464,152,396,212,223,153,54,297
1304,16,1277,306,0,448,917,97,284,383,193,442,214,200,129,50,288
1305,17,1288,139,4,445,1044,81,317,443,222,496,214,195,120,90,343
1306,17,1305,149,0,439,973,118,309,415,189,483,217,196,63,31,311
1307,17,1374,252,0,472,946,107,323,429,169,490,272,256,104,77,352
1308,21,1599,330,3,579,1211,120,321,468,270,638,319,280,91,103,341
1309,7,575,75,0,201,452,44,129,188,100,182,105,110,72,18,157
1310,7,487,25,0,177,386,33,100,143,80,183,102,96,36,24,113
1311,8,595,61,2,205,442,47,138,197,74,224,104,110,53,58,176
1312,16,1270,173,1,432,915,144,262,360,151,429,275,209,127,31,318
1313,15,1234,198,2,400,863,128,306,389,156,395,218,186,89,94,306
1314,28,2360,454,0,889,1833,153,429,586,402,762,523,301,210,122,483
1315,14,1152,207,2,403,820,103,243,339,126,424,213,200,120,42,291
1316,19,1684,281,0,598,1170,246,242,335,158,511,342,178,99,99,291
1317,10,766,91,0,252,531,70,192,277,100,265,120,132,71,40,190
1318,17,1246,130,4,408,902,153,277,371,149,448,251,195,97,54,255
1319,3,226,25,0,74,173,28,50,67,28,79,47,35,20,8,55
1320,21,1489,275,1,510,1064,171,298,393,103,538,254,184,130,63,302
1321,20,1572,347,3,564,1142,196,248,363,208,548,374,206,77,91,369
1322,5,438,62,0,159,320,50,70,92,66,120,92,68,36,14,97
1323,21,1710,284,1,597,1215,164,352,456,225,579,301,201,131,84,324
1324,21,1890,325,0,637,1318,188,428,552,245,633,359,252,128,80,394
1325,20,1603,228,1,546,1134,172,339,450,179,576,302,241,99,80,337
1326,20,1483,272,2,529,1153,127,298,437,227,613,252,262,116,120,340
1328,25,2056,359,0,711,1499,258,376,520,268,725,384,325,183,140,404
1329,12,890,168,1,295,645,85,215,282,119,344,154,141,72,62,232
1330,22,1592,330,1,600,1263,92,300,441,284,590,315,207,140,109,368
1331,12,904,92,1,305,669,79,215,286,108,331,146,134,62,53,203
1332,27,2172,356,1,756,1604,180,480,663,329,668,371,307,218,173,479
1333,18,1363,178,0,470,1036,126,297,412,202,470,268,210,147,66,337
1334,6,436,28,1,139,303,40,118,157,55,158,75,86,26,21,135
1335,10,761,116,0,265,575,78,153,207,104,298,164,139,61,24,163
1336,16,1129,119,2,377,885,116,259,363,176,417,174,185,92,82,310
1337,17,1299,149,2,454,973,94,297,419,176,444,266,179,97,50,303
1338,20,1700,349,2,592,1191,151,365,470,268,533,397,223,104,78,341
1339,11,911,149,0,314,663,115,168,233,125,309,183,148,72,52,244
1340,11,932,109,0,350,657,56,176,251,98,302,216,130,98,39,216
1341,7,474,46,0,166,381,35,107,147,77,172,64,98,56,23,155
1342,8,604,46,0,211,442,44,138,178,68,212,99,107,54,15,147
1343,21,1715,319,2,599,1225,201,316,442,203,594,332,251,146,76,355
1344,23,1758,231,1,607,1345,157,387,534,268,599,378,252,153,88,352
1345,26,2119,510,1,736,1516,207,440,582,321,786,483,305,115,131,423
1346,9,622,70,0,220,541,82,100,154,138,264,124,115,30,50,167
1347,14,1046,79,5,388,847,104,166,243,183,359,185,181,83,63,259
1348,17,1288,250,2,443,911,137,265,399,171,436,235,184,88,101,311
1349,10,846,72,1,275,548,82,214,276,86,251,143,110,59,24,174
1350,16,1326,246,2,472,899,147,235,336,124,422,309,180,119,49,283
1351,13,976,146,4,327,699,92,230,334,121,369,186,159,82,53,238
1352,10,702,83,0,249,553,59,145,203,104,257,143,134,79,41,144
1353,6,480,85,0,164,342,38,114,167,75,180,87,89,51,19,100
1354,17,1323,134,0,461,951,108,293,404,171,434,221,195,67,57,327
1355,24,1836,275,0,608,1328,174,446,597,262,652,275,280,113,53,466
1356,22,1731,255,1,600,1247,166,365,527,224,552,284,284,171,42,478
1357,12,952,112,1,328,708,71,225,316,154,333,156,168,78,34,235
1358,15,1195,181,0,403,873,122,267,359,160,392,274,164,85,23,331
1359,12,979,129,1,328,666,78,245,322,116,324,157,169,84,41,255
1360,8,555,71,0,183,399,72,117,171,61,213,107,110,40,47,184
1361,23,1669,303,2,560,1293,149,400,576,281,632,265,263,131,121,410
1362,14,1113,144,2,376,822,112,249,354,176,406,183,185,81,56,281
1363,6,410,57,0,133,313,41,103,140,58,178,86,88,34,27,129
1364,17,1280,227,0,464,1016,137,215,288,186,467,266,191,112,58,316
1365,10,729,70,0,243,521,77,166,220,76,258,132,107,51,22,178
1366,14,921,109,1,294,708,96,237,339,123,347,152,191,82,43,265
1367,7,543,27,1,202,423,59,80,126,104,179,127,101,29,21,140
1368,10,806,106,1,284,577,91,147,208,121,276,173,148,60,36,191
1369,3,204,19,1,69,180,13,53,81,41,83,31,39,27,7,55
1370,12,828,105,1,289,642,71,179,260,123,316,168,163,81,20,190
1371,25,1899,290,1,662,1438,157,418,628,320,719,349,364,191,121,457
1372,23,1914,498,0,681,1342,189,363,486,266,541,444,294,201,75,468
1373,21,1692,287,2,591,1197,139,371,502,273,586,323,341,126,99,418
1374,25,1978,446,0,731,1432,165,351,498,328,678,459,305,164,119,377
1375,12,899,77,4,309,682,73,208,308,139,364,146,194,76,68,236
1376,23,1853,289,2,620,1370,148,465,678,318,652,337,307,159,97,455
1377,12,1012,86,5,374,755,79,185,252,108,324,201,130,91,53,242
1378,8,582,78,0,213,448,30,126,180,95,247,96,105,43,52,126
1379,7,508,63,0,148,336,72,140,178,44,186,94,80,31,22,136
1380,19,1416,195,0,503,1091,122,288,422,186,515,218,197,158,60,367
1381,4,315,37,1,104,223,31,76,99,35,106,50,49,23,12,79
1382,22,1722,203,1,566,1239,181,409,523,221,561,305,244,130,96,400
1383,14,990,147,0,321,767,113,235,327,158,377,172,186,90,74,247
1384,12,910,115,0,305,661,84,216,299,133,311,163,138,66,38,197
1385,7,477,71,0,166,393,48,97,149,80,242,102,116,35,59,130
1386,27,2095,321,1,730,1598,188,447,617,273,790,409,276,149,99,421
1387,11,861,111,1,297,627,77,190,267,77,319,175,123,61,33,231
1388,26,1997,456,0,729,1375,234,305,435,222,695,453,253,135,95,398
1389,14,973,138,0,337,740,85,214,314,140,397,186,192,82,30,250
1390,14,1079,149,2,362,764,94,261,397,160,354,189,155,91,59,270
1391,8,681,74,1,249,474,69,114,154,60,231,130,102,44,26,129
1392,24,1871,380,0,687,1377,167,330,484,278,652,414,283,149,113,376
1393,19,1398,254,1,476,1063,176,270,389,244,495,286,236,153,94,303
1394,23,1765,189,0,604,1332,157,400,539,247,556,301,271,230,110,479
1395,12,871,164,0,285,632,71,230,343,124,322,173,166,78,56,225
1396,21,1508,173,3,532,1263,174,270,390,240,540,307,190,121,62,316
1397,15,1222,204,0,417,900,117,271,373,177,436,224,164,86,80,265
1398,18,1350,182,2,479,993,101,291,414,208,478,199,257,129,71,364
1399,17,1398,193,1,449,949,148,352,455,165,485,257,205,89,67,317
1400,20,1487,222,2,507,1112,154,319,465,212,499,241,203,99,97,400
1401,26,2041,407,1,718,1570,204,401,597,339,698,475,284,191,101,457
1402,13,922,138,0,342,733,64,174,257,148,332,177,145,90,41,226
1403,19,1465,203,2,485,1014,123,372,497,180,483,274,215,105,93,342
1404,17,1307,160,2,449,944,135,274,369,179,465,224,223,92,35,291
1405,16,1360,269,0,467,927,147,279,365,152,453,291,173,78,37,258
1406,18,1399,190,2,459,1014,112,369,536,253,471,214,226,109,98,384
1407,7,489,45,0,172,410,51,94,148,85,199,76,86,48,26,121
1408,12,885,121,5,311,721,81,182,269,157,336,150,166,88,48,233
1409,20,1527,237,1,535,1160,149,308,454,190,532,293,212,148,66,341
1410,5,392,44,0,139,284,46,68,101,43,136,104,49,20,25,93
1411,18,1389,253,0,482,992,127,298,469,223,499,276,217,79,63,240
1412,25,1987,275,3,707,1453,193,380,535,279,695,474,312,161,151,431
1413,9,620,58,3,229,511,50,112,168,88,253,116,118,65,13,145
1414,23,1712,270,2,611,1276,155,335,485,212,668,368,275,141,123,425
1415,12,892,103,0,302,631,96,192,261,111,302,163,160,61,29,210
1416,12,932,133,1,314,657,88,216,289,135,366,166,166,54,63,167
1417,15,1208,187,0,444,911,100,220,311,163,438,266,171,99,53,232
1418,15,1258,249,1,426,904,103,303,426,220,417,204,186,103,61,269
1419,18,1436,205,1,513,1048,137,273,378,198,446,287,197,102,66,300
1420,7,567,64,1,195,362,56,121,175,52,201,121,107,50,16,121
1421,20,1522,232,0,516,1125,115,375,518,233,527,254,255,197,70,342
1422,11,873,109,1,299,613,95,180,260,101,313,161,137,67,40,213
1423,23,1859,240,3,659,1393,169,372,523,268,604,312,277,162,98,548
1424,16,1359,202,4,452,992,128,327,459,183,458,269,207,140,88,323
1425,21,1801,332,4,632,1330,184,353,497,260,604,345,262,147,131,341
1426,22,1813,363,1,620,1404,204,369,533,319,676,391,294,155,66,478
1427,4,312,33,0,104,219,36,68,94,33,119,50,56,13,10,76
1428,25,2031,364,3,715,1443,202,399,552,249,729,416,277,148,116,378
1429,14,1123,182,0,390,794,133,210,295,135,395,232,152,73,38,242
1430,9,778,104,2,265,562,96,152,189,80,271,161,104,56,31,162
1431,18,1508,190,3,521,1055,136,330,496,166,508,305,218,116,61,357
1433,24,1941,400,1,704,1481,187,346,497,297,613,374,268,232,97,443
1434,24,1831,382,1,628,1416,197,378,516,320,714,337,316,165,120,467
1435,19,1573,397,1,542,1111,168,321,467,191,596,302,189,84,118,339
1436,20,1579,277,0,566,1089,134,313,439,177,546,281,253,121,87,358
1437,29,2261,500,0,778,1634,248,457,585,266,793,478,321,193,102,498
1438,26,1880,379,1,681,1344,160,358,477,227,607,389,246,150,77,409
1439,19,1495,257,2,495,1060,122,383,554,206,481,254,221,113,73,334
1440,6,523,62,0,178,383,63,104,127,62,154,83,63,43,32,122
1441,13,1029,112,5,349,717,98,233,326,128,343,187,175,99,48,260
1442,7,536,80,0,185,385,44,122,175,74,196,96,83,41,31,146
1443,16,1273,137,2,432,877,122,287,392,171,458,233,210,63,65,274
1444,11,900,97,2,299,621,75,227,312,124,299,152,136,60,29,200
1447,21,1523,276,0,544,1208,132,303,411,279,567,304,278,139,89,424
1448,11,879,75,0,295,650,76,213,305,144,315,154,155,65,63,214
1449,18,1603,246,4,534,1195,135,400,560,269,514,265,262,153,129,437
1450,8,664,117,1,243,464,67,111,160,83,224,151,122,49,51,159
1451,23,1758,229,2,585,1210,188,400,593,186,673,308,296,107,82,404
1452,26,2175,511,2,740,1583,168,527,778,421,632,419,357,273,72,603
1453,21,1769,224,2,610,1322,145,404,615,263,571,311,244,200,111,386
1454,18,1442,219,0,478,1018,159,327,415,163,477,311,185,91,54,310
1455,23,1779,482,0,606,1299,165,402,564,246,601,345,214,173,94,460
1456,18,1421,219,1,498,991,144,281,383,141,536,299,182,100,85,284
1457,20,1665,203,0,552,1142,183,378,498,173,568,247,249,104,117,355
1458,20,1473,220,2,498,1046,136,341,478,214,501,250,241,117,67,330
1459,13,1045,134,0,326,659,116,277,350,117,330,206,170,69,29,232
1460,20,1469,241,1,511,1065,152,295,424,120,517,285,215,126,43,420
1461,12,881,101,0,279,588,127,196,265,63,307,162,128,51,34,217
1462,27,2247,397,0,752,1589,208,535,725,326,786,460,345,188,87,533
1463,21,1643,379,1,570,1170,145,358,531,278,585,338,265,119,101,370
1464,9,773,86,2,277,616,84,135,180,95,263,157,86,76,30,160
